"Link","Marque et annee","Prix","listing-card__header__price 2","font-weight-lighter","Adresse","Adresse","Proprietaire"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/optima/annonce-135146","Kia Optima 2016","40 000","F","CFA","Yoff,","Dakar","Par Abdia ..."
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sportage/annonce-136057","Kia Sportage 2016","30 000","F","CFA","Yoff,","Dakar","Par A vos  services"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/volkswagen/jetta/annonce-136169","Volkswagen Jetta 2014","20 000","F","CFA","Yoff,","Dakar","Par A vos  services"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sportage/annonce-136151","Kia Sportage 2016","30 000","F","CFA","Dalifort,","Dakar","Par Caroline ,"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/chrysler/200s/annonce-136153","Chrysler 200s 2017","35 000","F","CFA","VDN,","Dakar","Par ahmed  cheikhouna"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fiesta/annonce-136149","Ford Fiesta 2014","25 000","F","CFA","Grand-Dakar,","Dakar","Par Feudze  Immo & services"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/edge/annonce-136108","Ford Edge 2014","40 000","F","CFA","Ouakam,","Dakar","Par VPS  SERVICES"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/ml-350/annonce-134992","Mercedes ML 350 2014","40 000","F","CFA","Ouakam,","Dakar","Par LOCA VOITURE  DAKAR"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/fiat/freemont/annonce-136060","Fiat Freemont 2015","50 000","F","CFA","Guédiawaye,","Dakar","Par Fall ."
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-135357","Hyundai Elantra 2014","30 000","F","CFA","Fann,","Dakar","Par KONTE  SERVICES"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/corolla/annonce-136001","Toyota Corolla 2010","3 000 000","F","CFA","Fann,","Dakar","Par KONTE  SERVICES"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/tucson/annonce-135942","Hyundai Tucson 2015","35 000","F","CFA","Liberté 2,","Dakar","Par SEN  BAZAR"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/chevrolet/cruze/annonce-135926","Chevrolet Cruze 2016","25 000","F","CFA","Almadies,","Dakar","Par Moustapha SAMBA"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/flex-limited/annonce-135869","Ford Flex-limited 2019","55 000","F","CFA","Hann Maristes,","Dakar","Par DIOP ."
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-135862","Hyundai Elantra 2014","25 000","F","CFA","Amitié,","Dakar","Par peezy ."
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-135835","Ford Fusion 2016","35 000","F","CFA","Dieuppeul Derklé,","Dakar","Par Lendom  Zefff"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/edge/annonce-135787","Ford Edge 2014","30 000","F","CFA","Médina,","Dakar","Par Cheikh ."
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/hilux/annonce-135761","Toyota Hilux 2018","30 000","F","CFA","Hann Bel-Air,","Dakar","Par PAPIEX ."
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/peugeot/308/annonce-135756","Peugeot 308 2012","25 000","F","CFA","Mamelles,","Dakar","Par Auto business  Dakar"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-135753","Ford ESCAPE-SE 2016","40 000","F","CFA","Yoff,","Dakar","Par Babacar ba  résidence"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/tucson/annonce-135702","Hyundai Tucson 2016","30 000","F","CFA","Liberté 4,","Dakar","Par Caroline ,"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-135566","Hyundai Elantra 2013","30 000","F","CFA","Nord Foire,","Dakar","Par Julie  Campara"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/hiace/annonce-135505","Toyota Hiace 2021","70 000","F","CFA","Ouakam,","Dakar","Par SYLLA BUSINESS  GROUP"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/hilux/annonce-135490","Toyota Hilux 2016","50 000","F","CFA","Grand-Dakar,","Dakar","Par Bouly  DIEDHIOU"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/explorer/annonce-135461","Ford Explorer 2016","60 000","F","CFA","Yoff,","Dakar","Par A vos  services"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/ml-350/annonce-135459","Mercedes ML 350 2016","60 000","F","CFA","Yoff,","Dakar","Par A vos  services"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-135454","Ford ESCAPE-SE 2014","35 000","F","CFA","Ouakam,","Dakar","Par SYLLA BUSINESS  GROUP"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/mini-bus-hyundai/annonce-135452","Hyundai mini-bus-hyundai 2013","60 000","F","CFA","Ouakam,","Dakar","Par SYLLA BUSINESS  GROUP"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-135441","Ford Fusion 2013","35 000","F","CFA","Mermoz Sacré-Coeur,","Dakar","Par Originodesign  Market"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/sonata/annonce-135392","Hyundai Sonata 2013","25 000","F","CFA","VDN,","Dakar","Par MODOU  LO"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-135386","Ford ESCAPE-SE 2014","30 000","F","CFA","Plateau,","Dakar","Par Abibatou  Diop"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-titanium/annonce-135383","Ford Escape-Titanium 2016","35 000","F","CFA","VDN,","Dakar","Par MODOU  LO"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/focus/annonce-135129","Ford Focus 2016","25 000","F","CFA","Médina,","Dakar","Par SEN  BAZAR"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-135300","Ford ESCAPE-SE 2013","30 000","F","CFA","Fass,","Kaolack","Par Easy_Trip_ Sen"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/avensis/annonce-135299","Toyota Avensis 2014","20 000","F","CFA","Fass,","Kaolack","Par Easy_Trip_ Sen"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/focus/annonce-135233","Ford Focus 2016","20 000","F","CFA","Yoff,","Dakar","Par A vos  services"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/citroen/c3/annonce-135232","Citroen C3 2019","25 000","F","CFA","Yoff,","Dakar","Par A vos  services"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/peugeot/308/annonce-135228","Peugeot 308 2012","20 000","F","CFA","Keur Massar,","Dakar","Par Lamine  Djitte"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-135213","Ford ESCAPE-SE 2016","35 000","F","CFA","Almadies,","Dakar","Par ahmad ."
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-135206","Ford ESCAPE-SE 2012","35 000","F","CFA","Parcelles Assainies,","Dakar","Par XLOC ."
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/nissan/rogue/annonce-135204","Nissan ROGUE 2016","35 000","F","CFA","Parcelles Assainies,","Dakar","Par XLOC ."
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/accent/annonce-135202","Hyundai Accent 2015","30 000","F","CFA","Yoff,","Dakar","Par Penda NDIAYE"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sportage/annonce-134685","Kia Sportage 2016","25 000","F","CFA","Ngor,","Dakar","Par Alcine ."
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/santa-fe/annonce-135181","Hyundai Santa Fe 2018","50 000","F","CFA","Sicap Liberté,","Dakar","Par Khardiata  LY"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/jeep/grand-cherokee-limited/annonce-135180","Jeep GRAND-CHEROKEE-LIMITED 2020","100 000","F","CFA","Sicap Liberté,","Dakar","Par Khardiata  LY"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sportage/annonce-135158","Kia Sportage 2016","30 000","F","CFA","Yoff,","Dakar","Par A vos  services"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sorento/annonce-135145","Kia Sorento 2016","40 000","F","CFA","Yoff,","Dakar","Par Abdia ..."
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/tucson/annonce-135128","Hyundai Tucson 2016","40 000","F","CFA","Liberté 2,","Dakar","Par SEN  BAZAR"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/peugeot/partner/annonce-135122","Peugeot Partner 2016","25 000","F","CFA","Ngor,","Dakar","Par J. M"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/rav-4/annonce-135113","Toyota Rav 4 2016","30 000","F","CFA","Yoff,","Dakar","Par A vos  services"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/santa-fe/annonce-135109","Hyundai Santa Fe 2016","25 000","F","CFA","Sicap Foire,","Dakar","Par AMautomobile ."
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/chevrolet/equinox/annonce-135047","Chevrolet Equinox 2016","30 000","F","CFA","Cité Keur gorgui,","Dakar","Par Augustin  Ndiaye"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/peugeot/5008/annonce-135035","Peugeot 5008 2017","3","F","CFA","Parcelles Assainies,","Dakar","Par Rasta Gadio"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mitsubishi/rvr/annonce-134991","Mitsubishi RVR 2016","20 000","F","CFA","Ouakam,","Dakar","Par LOCA VOITURE  DAKAR"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/hilux/annonce-134963","Toyota Hilux 2012","40 000","F","CFA","Hann Maristes,","Dakar","Par travelsencar .."
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-134945","Ford Fusion 2014","35 000","F","CFA","Mermoz Sacré-Coeur,","Dakar","Par Originodesign  Market"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/classe-c/annonce-134935","Mercedes Classe C 2016","100 000","F","CFA","Mamelles,","Dakar","Par Start& Drive"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-134934","Hyundai Elantra 2016","25 000","F","CFA","Yoff,","Dakar","Par MBD  VOITURE"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/nissan/pathfinder/annonce-134922","Nissan Pathfinder 2016","40 000","F","CFA","Ouakam,","Dakar","Par LOCA VOITURE  DAKAR"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-134918","Ford ESCAPE-SE 2016","35 000","F","CFA","Grand-Yoff,","Dakar","Par Transcar via  Sénégal"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mitsubishi/outlander/annonce-134914","Mitsubishi Outlander 2015","35 000","F","CFA","Yoff,","Dakar","Par A vos  services"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/sonata/annonce-134908","Hyundai Sonata 2015","40 000","F","CFA","Yoff,","Dakar","Par Abdia ..."
